building_type_int,building_type,energy_class,energy_class_int,id_BAG,construction_year,floor_area_ground_m2,height_m,volume_m3,energy_label_int,floor_area_total_m2,number_of_residences,population,E_cooling_kWh,E_cooling_capped_at_98th_percentile_kWh,E_cooling_capped_at_98th_percentile_Wh_m2,P_cooling_peak_kW,P_cooling_peak_98th_percentile_kW,P_cooling_peak_98th_percentile_W_m2,electricity_use_kWh,GHG_emissions_electricity_kgCO2eq,GHG_emissions_refrigerant_leaks_kgCO2eq,GHG_emissions_production_phase_kgCO2eq,GHG_emissions_EoL_phase_kgCO2eq,mass_cooling_equipment_kg,ADP_kgSbeq,CSI_kgSieq,GHG_emissions_total_kgCO2eq,electricity_use_intensity_kWh_m2,material_use_intensity_kg_m2,GHG_emissions_intensity_kgCO2eq_m2,avg_SEER_inv,total_MPR,avg_lifetime_cooling_technology_yr
4,Old lowrise residential,A-A+++++,1,9935,1977.3852861752634,906076.4462389876,10.009058899855251,8641616.190100573,5.910309816040633,2051540.0,20415.0,41034.149999999994,69412183.0609284,67968468.15752842,33130.46207118965,80761.86023108625,47495.463103885086,23.151127008922607,2822701.2488324097,1205293.4332514391,181201.84110615615,30898.363504084853,2233.6166388495076,91856.22564291376,1.9358010870029065,12098756.793768167,1419627.2545005295,1.3758938401554004,0.04477427963525633,0.6919812699243152,0.04152956989247312,0.15,1.845
4,Old lowrise residential,B-C,2,15974,1958.01714826468,2192756.833095473,11.42315173068258,24037325.84597626,7.550395642074062,5474898.0,64100.0,128840.99999999999,194697384.299256,189408481.35482112,34595.800936350075,277990.8325657933,156903.97163706485,28.658793576988078,7866052.764652235,3358804.5305065042,598610.6183514317,102074.50636437908,7378.879978147885,303452.28114608343,6.395029314394834,39968933.21496771,4066868.535200463,1.4367487329722373,0.05542610677789494,0.742820877247478,0.04152956989247312,0.15,1.8449999999999998
4,Old lowrise residential,D-E,3,16833,1931.9682661085524,2311120.845055004,11.317928885199162,25388297.352123436,9.44361214387033,5853521.0,69646.0,139988.46,206600485.06755552,197205715.11996958,33690.101243331934,419703.03778952983,207597.0099128995,35.46532248075978,8189868.52926992,3497073.861998256,792011.6563990995,135053.06518687643,9762.872182183837,401492.61717154767,8.461155891225992,52882224.32016246,4433901.455766415,1.399135414269449,0.06858993367778943,0.7574759628890739,0.04152956989247312,0.15,1.8450000000000002
4,Old lowrise residential,F-G,4,6845,1922.4606652973482,756146.6866030066,10.683249193654678,7835514.842200829,11.304805061321613,1797001.0,18499.0,37182.99,76748883.49572866,70722602.75468388,39355.90617628142,230110.71539802608,96097.29760595124,53.47648532524537,2937079.2740782565,1254132.8500314155,366624.6439883689,62516.48134674201,4519.263711812675,185852.17356990973,3.9166952169043183,24479345.105651993,1687793.2390783392,1.6344338562294938,0.10342352261902457,0.9392277684199059,0.04152956989247312,0.15000000000000002,1.8450000000000002
5,New highrise office,A-A+++++,1,15,2010.7957895617526,58499.37605849945,70.07668457495875,2600285.9551681415,5.035745846819948,382478.0,193.0,26773.460000000003,48460641.39590329,48234184.52602979,126109.69657347556,21123.816349400535,15880.00551698895,41.51874229887457,9073064.525666086,3874198.552459419,255829.27087951955,67396.68077477417,4872.049212634277,234563.5614914438,4.2224426509497075,26390266.568435673,4202296.553326347,23.721794523256463,0.6132733424966763,10.987028151491973,0.1881044453186467,0.85,14.375
5,New highrise office,B-C,2,1,2004.0,815.2872040000952,31.969569977372885,26064.38131993773,8.0,5059.0,2.0,354.13000000000005,607230.8017001997,602879.6687535933,119169.7309257943,348.4742647174236,244.56806591302242,48.34316384918411,113404.34568478416,48423.655607402834,3940.0282270686785,1037.9767090389084,75.03446089437892,3612.514901601254,0.06502986610846175,406436.6631778859,53476.6950044048,22.416356134568918,0.7140768732162985,10.570605851829374,0.18810444531864673,0.85,14.375
6,Old highrise office,A-A+++++,1,80,1982.520169447977,228481.80828699906,40.530986118421936,7829908.322485013,5.4001740253178765,1389453.0,831.0,97261.71,158177193.23666388,157277155.2894597,113193.57710513397,76795.74210482111,56160.76451361618,40.419333733214565,29584532.05701848,12632595.188346893,904758.3404290337,238353.13620905773,17230.347195835497,829550.6526306246,14.932967569724099,93331047.31077562,13792937.012180818,21.292215034994694,0.5970339785733124,9.926882746074044,0.18810444531864673,0.8500000000000001,14.375
6,Old highrise office,B-C,2,46,1977.435219776701,111619.3216909973,33.09353023746465,3360562.4488133113,7.447377409644984,562116.0,244.0,39348.12,61202903.384021334,60728747.97789665,108035.97118369989,36302.2549581821,25308.49196965059,45.02361073097117,11423347.45327814,4877769.362549765,407723.60190486646,107412.3275552174,7764.746570256679,373831.7348837089,6.729447027555789,42059043.92222368,5400670.038580106,20.322046433971167,0.6650437541071752,9.6077500704127,0.18810444531864673,0.8500000000000001,14.375
6,Old highrise office,D-E,3,8,1968.7734577259475,7592.484776500575,22.798072981744745,175209.5679657042,9.213620991253645,85750.0,493.0,6002.5,10230602.659788704,10191046.759283192,118846.02634732585,4146.786152785724,3228.400644931985,37.64898711290945,1916981.1978713572,818550.9714910695,52010.01864995102,13701.726201970027,990.4862314677127,47686.70592629036,0.8584214006053512,5365133.753783444,885253.2025744582,22.355465864389004,0.5561131886447855,10.323652508156947,0.18810444531864673,0.8500000000000002,14.375
6,Old highrise office,F-G,4,6,1957.0977271996658,12525.24576249994,24.293226497991967,299334.65803897456,12.0,93321.0,94.0,6532.47,8331065.5704664,8236704.631859583,88262.06997202754,5995.096142150857,3861.121115433533,41.37462216900303,1549360.756029475,661577.0428245859,62203.24033780153,16387.069070675996,1184.6074026994695,57032.619996068715,1.026659749006207,6416623.431288794,741351.959635763,16.602487714763825,0.6111445440583438,7.944106467309212,0.18810444531864673,0.8500000000000001,14.375
7,New lowrise office,A-A+++++,1,16,2012.3914672910112,29464.981938497538,6.800143125291086,221814.5074308941,5.260371192351779,123009.0,26.0,8610.630000000001,15427302.256018942,15375067.379468672,124991.4020882104,5545.523684881788,4362.885045136173,35.4680149024557,2344325.7979323724,1001027.1157171229,59446.49018250294,8646.326316485463,625.0356373362985,25579.59501963338,0.5416975523581252,3385609.7022382836,1069744.9678534477,19.058164832917694,0.20794897137309773,8.696477232181772,0.15247580645161293,0.51,6.25
7,New lowrise office,B-C,2,10,2008.293575494714,6476.915505999168,13.363603303309427,86536.01394959056,7.668473841149363,14756.0,19.0,1032.92,1745267.3273833413,1730777.9498445846,117293.1654814709,1141.854133655673,796.9025191309697,54.00532116637095,263901.7636912223,112686.05309615191,10858.19527441903,1579.2942402910835,114.16584869574098,4672.239469664874,0.09894373553630884,618398.3471019303,125237.70845955776,17.884369998049763,0.31663319799843287,8.487239662480196,0.1524758064516129,0.51,6.25
8,Old lowrise office,A-A+++++,1,86,1970.8629097051748,107397.16372650106,8.630984301539778,1034633.4583861822,5.809110271812551,449317.0,1140.0,31452.190000000002,56334244.699107006,56200732.19600416,125080.36018224138,18808.63078018876,15717.104433826213,34.97999059422683,8569251.96475686,3659070.588951179,214153.40646309912,31148.016113016885,2251.663815398811,92149.38329552308,1.9514419733456358,12196512.333410226,3906623.675342694,19.07172879004547,0.20508768485395185,8.694582389143285,0.15247580645161293,0.51,6.25
8,Old lowrise office,B-C,2,99,1938.0417453523019,40679.605428496514,12.997782792000237,493842.9190259846,7.786048512316925,95316.0,179.0,6672.120000000001,10881696.178913374,10781350.881057188,113111.65891410873,7787.855950106415,5406.925825028963,56.726319033834436,1643895.1702270021,701943.2376869298,73672.06782893215,10715.396937709975,774.6070075452993,31700.806112144808,0.671326073205926,4195787.957537038,787105.3094611173,17.2467914120085,0.33258640849537124,8.257850827364946,0.1524758064516129,0.5100000000000001,6.25
8,Old lowrise office,D-E,3,66,1933.282367084884,24422.31062699906,14.239019386607534,325781.33934031177,9.2671987108161,78189.0,182.0,5473.2300000000005,7927899.492404061,7833833.208144193,100190.98860637932,6390.71971709712,4181.547754216097,53.48000043760755,1194470.0360192119,510038.7053802034,56975.67892507144,8286.953705375674,599.0568943645065,24516.41448296898,0.5191826417825722,3244891.511141077,575900.394905015,15.276701786942047,0.3135532425656931,7.365491244356815,0.1524758064516129,0.5100000000000001,6.25
8,Old lowrise office,F-G,4,83,1907.8715111763183,20226.786322999513,13.124808527024989,255351.92600462475,11.723120738758954,57935.0,155.0,4055.4500000000003,5197750.999013676,5037144.197886157,86944.7518406172,7961.673177775448,4271.780776962475,73.73402566604773,768042.6237857547,327954.2003565172,58205.14897650221,8465.776697757241,611.9838576691981,25045.450695330986,0.5303860099799715,3314912.5623748233,395237.1098884459,13.256971153633463,0.4323025924800377,6.822078361757933,0.15247580645161293,0.51,6.25
